S369,10

S370,4

S371,8

S372,6

S373,7

S374,5

S375,4

S376,6

S377,7

S378,4

S379,5

S380,3

S381,6

S382,9

S383,7

S384,10

S385,6

S386,4

S387,6

S388,3

S389,4

S390,5

S391,5

S392,4

S393,4

S394,7

S395,6

S396,3

S397,5

S398,6

S399,10

S400,5

S401,5

S402,9

S403,9

S404,7

S405,5

S406,4

S407,3

S408,8

S409,6

S410,7

S411,12

S412,5

S413,7

S414,6

S415,8

S416,8

S417,4

S418,6

S419,9

S420,4

S421,8

S422,9

S423,5

S424,5

S425,9

S426,6

S427,4

S428,5

S429,8

S430,8

S431,5

S432,6

S433,5

S434,5

S435,6

S436,4

S437,7

S438,10

S439,8

S440,6

S441,5

S442,2

S443,5

S444,7

S445,7

S446,4

S447,11

S448,7

S449,7

S450,4

S451,6

S452,1

S453,6

S454,8

S455,6

S456,8

S457,4

S458,1

S459,8

S460,6

S461,8

S462,7

S463,8

S464,3

S465,4

S466,6

S467,5

S468,11

S469,9

S470,5

S471,6

S472,8

S473,6

S474,6

S475,6

S476,6

S477,3

S478,4

S479,6

S480,5

S481,7

S482,6

S483,4

S484,7

S485,10

S486,5

S487,9

S488,5

S489,3

S490,5

S491,7

S492,7

S493,3

S494,4

S495,9

S496,5

S497,3

S498,3

S499,8

S500,1

S501,5

S502,4

S503,5

S504,8

S505,7

S506,5

S507,6

S508,2

S509,3

S510,5

S511,4

S512,1

S513,7

S514,3

S515,3

S516,7

S517,6

S518,6

S519,4

S520,9

S521,5

S522,5

S523,7

S524,8

S525,10

S526,7

S527,6

S528,4

S529,7

S530,5

S531,3

S532,2

S533,5

S534,7

S535,5

S536,3

S537,6

S538,9

S539,4

S540,3

S541,4

S542,3

S543,3

S544,6

S545,6

S546,7

S547,3

S548,6

S549,6

S550,7

S551,5

S552,8

S553,9

S554,6

S555,4

S556,9

S557,5

S558,7

S559,6

S560,5

S561,3

S562,1

S563,7

S564,7

S565,7

S566,3

S567,6

S568,2

S569,4

S570,9

S571,6

S572,3

S573,5

S574,10

S575,8

S576,5

S577,7

S578,6

S579,3

S580,9

S581,6

S582,9

S583,8

S584,5

S585,6

S586,6

S587,5

S588,7

S589,6

S590,4

S591,4

S592,4

S593,3

S594,6

S595,3

